DataType,Accuracy,Macro_Precision,Macro_Recall,Macro_F1
Raw Data,0.8352668213457076,0.8346791822744813,0.8366895361274134,0.8349477271436635
Preprocessed Data,0.909813407049067,0.9188456402322035,0.9083711403395611,0.9132153191637292
