Class,Precision,Recall,F1_Score,Support
1-one,0.9264214046822743,0.8575851393188855,0.8906752411575563,323.0
2-two,0.8971684053651267,0.9176829268292683,0.9073097211755841,656.0
3-three,0.8914373088685015,0.9298245614035088,0.9102263856362217,627.0
4-open_close,0.9406528189910979,0.9161849710982659,0.9282576866764275,346.0
5-rotate,0.9717868338557993,0.9451219512195121,0.9582689335394127,328.0
7-victory,0.9039087947882736,0.9039087947882736,0.9039087947882736,614.0
Macro Average,0.9218959277585123,0.9117180574429525,0.916441127162246,2894.0
