FPS,BoundingBox_Area,Model_Confidence
1879.004884334657,0,0.0
1.054710938618571,0,0.0
98.21301261693431,0,0.0
80.08493764298926,0,0.0
24.172406597689598,0,0.0
27.67947563051235,0,0.0
31.79618095302062,0,0.0
28.777347570814804,0,0.0
26.128470921430708,0,0.0
39.259939454075706,0,0.0
32.44226086815132,0,0.0
22.46436773312209,0,0.0
48.60921302454016,0,0.0
33.742256433780135,0,0.0
27.66176844123608,0,0.0
25.399520778835935,0,0.0
49.412655053703006,0,0.0
20.031712735790816,0,0.0
24.940976956920796,0,0.0
40.26666067631274,0,0.0
26.32228942083716,0,0.0
40.98553819131085,0,0.0
28.21498447893213,0,0.0
27.101430794722194,0,0.0
43.168510124286584,0,0.0
4.228993612896213,0,0.0
84.95963968567028,0,0.0
85.56452343929574,0,0.0
114.80802814827413,0,0.0
83.13916719315067,0,0.0
41.11289084975207,0,0.0
23.215765495909032,0,0.0
34.19784550275445,0,0.0
42.133401106115954,0,0.0
26.337826577425083,0,0.0
41.67913012211005,0,0.0
29.78481900788615,0,0.0
31.096515108412873,0,0.0
30.235495167439296,0,0.0
38.314925277994305,0,0.0
19.717006317578115,0,0.0
30.471852077425652,0,0.0
33.870048200542286,0,0.0
30.479823831641173,0,0.0
27.65520246389084,0,0.0
36.541416771414994,0,0.0
24.53983332248345,0,0.0
32.86345954256399,0,0.0
30.48669174078594,0,0.0
37.139691530459444,0,0.0
34.088615798356614,0,0.0
28.293209185641796,0,0.0
21.478279129482395,0,0.0
28.2720400837823,0,0.0
35.74116380929943,0,0.0
29.55521130617291,0,0.0
39.75862394771582,0,0.0
29.401279202659847,0,0.0
25.50190943562345,0,0.0
41.13748805215404,0,0.0
27.40028532428522,0,0.0
33.8102554575598,0,0.0
29.726767241718118,0,0.0
36.309858067847514,0,0.0
22.841409824386965,205920,0.0
13.74662448249308,205920,0.0
101.62295578836525,205920,0.0
37.60082380687714,205920,0.0
39.617046237869175,205920,0.0
26.66653199937799,205920,0.0
28.6591716586037,205920,0.0
29.26710659533546,205920,0.0
45.47006455757701,205920,0.0
25.757969694005936,205920,0.0
44.38407805286876,205920,0.0
27.892630860262503,205920,0.0
29.712447502196753,205920,0.0
12.026361078079525,205920,0.0
35.86003293564769,205920,0.0
71.3108479524117,205920,0.0
66.24587181606158,205920,0.0
31.901623120470816,205920,0.0
30.200661947210783,205920,0.0
26.025682198472612,205920,0.0
35.96149471022551,205920,0.0
35.17554797717463,205920,0.0
29.222043321629283,205920,0.0
28.991376244934337,205920,0.0
36.08028447088926,205920,0.0
12.82472758770618,205920,0.0
29.383977207499544,205920,0.0
67.9600563068396,205920,0.0
41.022016032649,205920,0.0
33.95834771851712,205920,0.0
23.823666168528018,205920,0.0
44.292212911272514,205920,0.0
25.183574243800862,205920,0.0
33.30208364845482,205920,0.0
28.334494112562865,226080,0.0
55.38775635762339,226080,0.0
28.547207440281813,226080,0.837336003780365
7.991171948861951,226080,0.9428449869155884
27.450856166112604,226080,0.9428449869155884
38.89586255149881,226080,0.7772940397262573
46.654078162065325,226080,0.7772940397262573
34.45658978654512,226080,0.6137931942939758
32.7753759180858,226080,0.6137931942939758
52.974306694962,226080,0.6159746050834656
52.12698844832577,226080,0.6159746050834656
50.607441773810415,226080,0.6159746050834656
43.98195811972662,226080,0.5690760016441345
37.48991504638577,226080,0.5811430215835571
27.677831741365853,226080,0.8143537044525146
14.890093533162217,226080,0.957664966583252
11.602654934529482,226080,0.9584568738937378
30.824107904289917,226080,0.9603381156921387
29.214105380490963,226080,0.9618750214576721
27.379001006244295,226080,0.9633941650390625
25.242835705870622,226080,0.9645251035690308
28.420122222605546,226080,0.9656392931938171
20.022723781153434,226080,0.9664723873138428
17.822756324913335,226080,0.967506468296051
24.08233181584474,226080,0.968336284160614
24.92600675567352,226080,0.9688717722892761
35.56991009459356,226080,0.9693174362182617
29.563752480349592,226080,0.969755232334137
28.042940963878387,226080,0.9701541066169739
28.47027917154855,226080,0.9705362915992737
36.42621843970691,226080,0.9708258509635925
10.45163034992354,226080,0.9710928797721863
24.602737076799027,226080,0.9713716506958008
23.153865056452997,226080,0.9715572595596313
35.972598011786886,240960,0.9718315601348877
26.957206792853643,240960,0.972003161907196
20.9996391148445,240960,0.9721954464912415
29.31845591574683,240960,0.9724608659744263
36.82890648539903,240960,0.9725971817970276
26.647726287755823,240960,0.972804069519043
25.788694051030127,240960,0.9729279279708862
27.727050211363945,240960,0.9724987745285034
24.75593586475888,240960,0.9718450903892517
28.89451143698186,240960,0.9711080193519592
28.694659810582337,240960,0.9703955054283142
33.247439953465026,240960,0.9696063995361328
31.905020467716167,240960,0.9689225554466248
25.28011119064374,240960,0.9682382345199585
16.53708467759452,240960,0.9675776362419128
29.747639790594047,240960,0.9669657945632935
31.042430287766905,240960,0.9664411544799805
26.410631935499257,240960,0.9659081697463989
