Joint,X,Y,State
J0,0.244686558842659,0.2768324315547943,Before Preprocessing
J0,0.0,0.0,After Preprocessing
J1,0.2790817618370056,0.2587530016899109,Before Preprocessing
J1,0.3710554253093223,-0.1950408764549819,After Preprocessing
J2,0.2910835146903991,0.2418209314346313,Before Preprocessing
J2,0.5005303265100882,-0.3777040382619565,After Preprocessing
J3,0.3008778393268585,0.2302095592021942,Before Preprocessing
J3,0.606191493684951,-0.5029675136029794,After Preprocessing
J4,0.3074867725372314,0.2200723588466644,Before Preprocessing
J4,0.6774886604328519,-0.6123276237900068,After Preprocessing
J5,0.2448787838220596,0.2256521731615066,Before Preprocessing
J5,0.0020737229403269,-0.5521325909512376,After Preprocessing
J6,0.2427099794149398,0.2073163390159607,Before Preprocessing
J6,-0.0213233374529152,-0.7499395566026695,After Preprocessing
J7,0.24154594540596,0.1946301013231277,Before Preprocessing
J7,-0.0338809355094671,-0.8867986797618788,After Preprocessing
J8,0.2369073927402496,0.1841368377208709,Before Preprocessing
J8,-0.0839216383504353,-1.0,After Preprocessing
J9,0.2395980805158615,0.229146659374237,Before Preprocessing
J9,-0.0548945005510637,-0.5144340761869733,After Preprocessing
J10,0.2883212566375732,0.222762793302536,Before Preprocessing
J10,0.4707310886113065,-0.5833032188038123,After Preprocessing
J11,0.2938390374183655,0.2322265356779098,Before Preprocessing
J11,0.5302569037291004,-0.481208372825163,After Preprocessing
J12,0.2838763892650604,0.236531913280487,Before Preprocessing
J12,0.422779862574863,-0.434761962327045,After Preprocessing
J13,0.2427753210067749,0.2360630631446838,Before Preprocessing
J13,-0.0206184324069203,-0.4398199172568471,After Preprocessing
J14,0.2920131981372833,0.231497123837471,Before Preprocessing
J14,0.5105597508703206,-0.489077267238264,After Preprocessing
J15,0.2939035296440124,0.2392862886190414,Before Preprocessing
J15,0.530952645813266,-0.4050477631441884,After Preprocessing
J16,0.2828503251075744,0.2421603947877884,Before Preprocessing
J16,0.4117106831775737,-0.3740419078508257,After Preprocessing
J17,0.2522532939910888,0.244203582406044,Before Preprocessing
J17,0.0816299333707996,-0.3520000012860297,After Preprocessing
J18,0.2896386682987213,0.2399950325489044,Before Preprocessing
J18,0.4849433246697797,-0.3974018341356015,After Preprocessing
J19,0.2909920215606689,0.246366947889328,Before Preprocessing
J19,0.4995432986919791,-0.3286616159992386,After Preprocessing
J20,0.2811528742313385,0.2492473721504211,Before Preprocessing
J20,0.3933985843384727,-0.2975876011301629,After Preprocessing
