Class,Precision,Recall,F1_Score,Support
clap,0.8543689320388349,0.8073394495412844,0.8301886792452831,109.0
none,0.8771929824561403,0.8875739644970414,0.8823529411764706,169.0
shake,0.8968253968253969,0.9262295081967213,0.9112903225806451,122.0
Macro Average,0.8761291037734574,0.8737143074116824,0.8746106476674663,400.0
